,Precio,Precio Inicial,Estrellas,Marca,Dimensiones,RAM,Memoria,Peso
1514,135.0,"135,00",4.3,oppo,50 x 50 x 28,8.0,128.0,250.0
1515,1459.0,"1.579,00",4.1,samsung,"19,2 x 12,2 x 6,8",8.0,512.0,420.0
1516,278.63,"278,63",4.3,xiaomi,"18,5 x 9,2 x 6,2",12.0,256.0,530.0
1517,84.99,"84,99",4.2,blackview,"17,3 x 8,6 x 5,1",16.0,16.0,191.0
1519,139.79,"139,79",4.2,samsung,"4,1 x 1,2 x 6,7",1.0,1.0,270.0
1520,569.99,"569,99",4.8,doogee,"8,39 x 1,58 x 18,37",12.0,12.0,383.0
1522,315.48,"315,48",4.3,samsung,"19,6 x 9,5 x 5,4",8.0,256.0,400.0
1525,159.99,"159,99",4.4,doogee,"17,27 x 8 x 1,1",4.0,128.0,240.0
1526,289.0,"289,00",3.7,apple,"17,8 x 10,4 x 5,1",64.0,64.0,320.0
1527,249.99,"249,99",3.6,lg,"15,24 x 10,16 x 5,08",6.0,6.0,167.0
1529,114.99,"114,99",4.2,xiaomi,50 x 50 x 28,4.0,128.0,184.0
1530,397.88,"523,33",4.6,xiaomi,"7,5 x 8 x 16,1",12.0,12.0,500.0
1531,106.24,"124,99",4.2,umidigi,"16,7 x 7,7 x 0,79",4.0,128.0,189.0
1532,949.0,"1.199,00",4.4,google,"16,27 x 7,66 x 0,85",8.0,128.0,210.0
1533,59.99,"59,99",4.1,alcatel,10 x 48 x 50,1.0,1.0,277.3
1534,259.0,"279,00",3.3,huawei,"16,33 x 7,47 x 0,84",8.0,8.0,199.0
